,num_robots,robot_speed,robot_speed_kmh,simulation_duration,generation,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,sequential_execution_time,execution_time,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4
83,1,98,9.8,5,6,4.9,4.4,0.9685555555555556,0.044,2,4.4,0.9555,0.044,4.6,203,824477712049,100,77.21952724456787,127.19832634925842,0.0009427070617675781,4.4,0.9816111111111112,0.044,5.2,201.0,159948434715.0,100.0,49.97879910469055,,,,,,,,,,,,,,,,,,,,,,,,
84,1,42,4.2,5,7,3.1,3.4,0.9770833333333334,0.034,2,3.4,0.9656111111111112,0.034,3.0,108,824477712049,100,72.0053186416626,114.46243119239807,0.0010573863983154297,3.4,0.9885555555555556,0.034,3.2,106.0,159948434715.0,100.0,42.457112550735474,,,,,,,,,,,,,,,,,,,,,,,,
85,1,109,10.9,5,7,4.699999999999999,4.6,0.9813611111111111,0.046,2,4.6,0.9727222222222224,0.046,3.8,233,824477712049,100,60.714529275894165,93.26504874229431,64.19504261016846,4.6,0.99,0.046,5.6,231.0,159948434715.0,100.0,32.55051946640015,,,,,,,,,,,,,,,,,,,,,,,,
86,1,32,3.2,5,7,2.1,3.0,0.9875555555555555,0.03,2,3.0,0.9837222222222224,0.03,2.0,238,824477712049,100,48.553741693496704,84.95013761520386,102.27216482162476,3.0,0.9913888888888888,0.03,2.2,236.0,159948434715.0,100.0,36.39639592170715,,,,,,,,,,,,,,,,,,,,,,,,
87,1,96,9.6,5,7,4.1,4.4,0.9734166666666666,0.044,2,4.4,0.96,0.044,3.2,8,824477712049,100,76.13293671607971,120.65370559692383,0.0012819766998291016,4.4,0.9868333333333332,0.044,5.0,6.0,159948434715.0,100.0,44.520768880844116,,,,,,,,,,,,,,,,,,,,,,,,
88,1,36,3.6,5,7,2.6,3.1,0.9720555555555555,0.031,2,3.2,0.9908888888888888,0.032,1.8,243,824477712049,100,37.843968868255615,128.84575772285461,91.02142930030823,3.0,0.9532222222222222,0.03,3.4,241.0,159948434715.0,100.0,91.001788854599,,,,,,,,,,,,,,,,,,,,,,,,
89,1,50,5.0,5,7,1.8,3.6,0.9794722222222223,0.036,2,3.6,0.9826111111111112,0.036,2.0,248,824477712049,100,49.66482663154602,108.16684126853943,67.05539202690125,3.6,0.9763333333333334,0.036,1.6,246.0,159948434715.0,100.0,58.50201463699341,,,,,,,,,,,,,,,,,,,,,,,,
90,1,34,3.4,5,7,2.2,3.0,0.9676388888888888,0.03,2,3.0,0.9553888888888888,0.03,2.0,253,824477712049,100,84.36461687088013,141.6039502620697,84.38889074325562,3.0,0.9798888888888888,0.03,2.4,251.0,159948434715.0,100.0,57.239333391189575,,,,,,,,,,,,,,,,,,,,,,,,
91,4,94,9.4,5,7,14.5,18.1,0.982201388888889,0.181,2,18.0,0.9817083333333333,0.18,12.6,258,824477712049,100,134.62399005889893,258.5333580970764,134.65905237197876,18.2,0.9826944444444445,0.182,16.4,256.0,159948434715.0,100.0,123.90936803817749,,,,,,,,,,,,,,,,,,,,,,,,
92,1,103,10.3,5,7,4.1,4.5,0.9770833333333334,0.045,2,4.6,0.9846111111111112,0.046,3.6,263,824477712049,100,44.03453087806702,113.83799743652344,69.82501363754272,4.4,0.9695555555555556,0.044,4.6,261.0,159948434715.0,100.0,69.80346655845642,,,,,,,,,,,,,,,,,,,,,,,,
93,1,33,3.3,5,7,2.8,3.0,0.9817777777777776,0.03,2,3.0,0.9692222222222222,0.03,3.0,143,824477712049,100,73.1416826248169,112.12535119056702,0.001348733901977539,3.0,0.9943333333333332,0.03,2.6,141.0,159948434715.0,100.0,38.98366856575012,,,,,,,,,,,,,,,,,,,,,,,,
